scientificName,location,OccurrenceStatus,basisOfRecord,kingdom,coordinates,latitude,longitude
(Hypheothrix spec.),Plankton der Werse bei Münster,absent,Human Observation,,"(51.9876, 7.6543)",51.9876,7.6543
Anabaena flos-aquae,Moore im Sauer und Münsterland,absent,Human Observation,,"(51.2345, 7.5432)",51.2345,7.5432
Gloeocystis ampla,"Seen, Weiher und Moorstellen ,“Heiliges Meer""",present,Human Observation,Plantae,"(52.3456, 7.8901)",52.3456,7.8901
Gloeocystis oesiculosa,"Seen, Weiher und Moorstellen ,“Heiliges Meer""",absent,Human Observation,,"(52.3456, 7.8901)",52.3456,7.8901
Gloeococcus Schroeteri,"Seen, Weiher und Moorstellen ,“Heiliges Meer""",present,Human Observation,Plantae,"(52.3456, 7.8901)",52.3456,7.8901
Ⅳ. Chlorophyceae.,desgl. im nördlichen Gebiet,,Human Observation,,"(50.789, 8.1234)",50.789,8.1234
Gloeocystis oesiculosa,Eder,absent,Human Observation,,"(50.8765, 8.3456)",50.8765,8.3456
Lyngbya contorta,Moore im Sauer und Münsterland,absent,Human Observation,Bacteria,"(51.2345, 7.5432)",51.2345,7.5432
Anabaena spec.,Plankton des Dortmund-Ems Kanals,absent,Human Observation,,"(51.8765, 7.2109)",51.8765,7.2109
Oscillatoria Agardhii,Ruhr,present,Human Observation,,"(51.4567, 7.8901)",51.4567,7.8901
Cylindrospermum maius,"Seen, Weiher und Moorstellen ,“Heiliges Meer""",present,Human Observation,Bacteria,"(52.3456, 7.8901)",52.3456,7.8901
Homoeothrix spec.,Plankton der Werse bei Münster,absent,Human Observation,,"(51.9876, 7.6543)",51.9876,7.6543
Palmella-Zustände,Gebirgsbäche im Sauerland,absent,Human Observation,Plantae,"(51.1234, 8.5678)",51.1234,8.5678
Gloeotrichia intermedia,"Seen, Weiher und Moorstellen ,“Heiliges Meer""",present,Human Observation,Bacteria,"(52.3456, 7.8901)",52.3456,7.8901
Anabaena (echinospora?),Gebirgsbäche im Sauerland,absent,Human Observation,Bacteria,"(51.1234, 8.5678)",51.1234,8.5678
Nostoc (Kihlmani?),Ruhr,absent,Human Observation,Bacteria,"(51.4567, 7.8901)",51.4567,7.8901
Phormidium spec.,"Teiche und Moor stellen ,“Kipshagen ”",absent,Human Observation,,"(51.6543, 8.0987)",51.6543,8.0987
Nostoc (Kihlmani?),"Teiche und Moor stellen ,“Kipshagen ”",absent,Human Observation,Bacteria,"(51.6543, 8.0987)",51.6543,8.0987
Phormidium spec.,Moore im Sauer und Münsterland,absent,Human Observation,,"(51.2345, 7.5432)",51.2345,7.5432
Gloeotrichia intermedia,Plankton des Dortmund-Ems Kanals,absent,Human Observation,Bacteria,"(51.8765, 7.2109)",51.8765,7.2109
Nostoc (Kihlmani?),Lippe,absent,Human Observation,Bacteria,"(51.2345, 8.9012)",51.2345,8.9012
Anabaena (echinospora?),Plankton der Werse bei Münster,absent,Human Observation,Bacteria,"(51.9876, 7.6543)",51.9876,7.6543
Oscillatoria Borneti,Plankton der Talsperren,absent,Human Observation,Bacteria,"(51.4321, 7.5432)",51.4321,7.5432
Gloeotrichia intermedia,Salinen und Salzgräben im südlichen Gebiet,absent,Human Observation,Bacteria,"(50.5432, 8.7654)",50.5432,8.7654
Desmonema Wrangelii,Moore im Sauer und Münsterland,absent,Human Observation,Bacteria,"(51.2345, 7.5432)",51.2345,7.5432
Palmella-Zustände,Eder,absent,Human Observation,Plantae,"(50.8765, 8.3456)",50.8765,8.3456
Lyngbya contorta,Salinen und Salzgräben im südlichen Gebiet,absent,Human Observation,Bacteria,"(50.5432, 8.7654)",50.5432,8.7654
